druh;.groups;coef;p.value;adj.R2;trend
Barbastella barbastellus;drop;0,197431149728111;6,80235328209257e-08;0,46102545064901101;positive
Myotis daubentonii;drop;0,173812486079208;3,94027391295172e-03;0,14880546627828417;positive
Myotis myotis;drop;1,143055127463850;3,03675034903678e-18;0,80665678722470835;positive
Myotis nattereri;drop;0,201957797781217;2,75818098205908e-01;0,00458174253938026;no trend
Plecotus auritus;drop;0,155154686723107;1,70571725548576e-02;0,09835775845180739;positive
celkem;drop;1,988163265306123;3,46232478890372e-08;0,46896321676834796;positive
