rok;mesic;sezona;druh;pocet
1983;02;1982/1983;Myotis mystacinus;0
1982;12;1982/1983;Myotis brandtii;0
1983;02;1982/1983;Myotis brandtii;0
1982;12;1982/1983;Barbastella barbastellus;0
1983;02;1982/1983;Barbastella barbastellus;0
1982;12;1982/1983;Eptesicus serotinus;0
1983;02;1982/1983;Eptesicus serotinus;0
1982;12;1982/1983;Myotis emarginatus;0
1983;02;1982/1983;Myotis emarginatus;0
1982;12;1982/1983;Myotis bechsteinii;0
1983;02;1982/1983;Myotis bechsteinii;0
1983;12;1983/1984;celkem;37
1984;02;1983/1984;celkem;49
1983;12;1983/1984;Myotis nattereri;19
1984;02;1983/1984;Myotis nattereri;31
1983;12;1983/1984;Myotis daubentonii;5
1984;02;1983/1984;Myotis daubentonii;12
1983;12;1983/1984;Myotis myotis;4
1984;02;1983/1984;Myotis myotis;2
1983;12;1983/1984;Plecotus auritus;8
1984;02;1983/1984;Plecotus auritus;3
1983;12;1983/1984;Myotis mystacinus;0
1984;02;1983/1984;Myotis mystacinus;0
1983;12;1983/1984;Myotis brandtii;0
1984;02;1983/1984;Myotis brandtii;0
1983;12;1983/1984;Barbastella barbastellus;1
1984;02;1983/1984;Barbastella barbastellus;1
1983;12;1983/1984;Eptesicus serotinus;0
1984;02;1983/1984;Eptesicus serotinus;0
1983;12;1983/1984;Myotis emarginatus;0
1984;02;1983/1984;Myotis emarginatus;0
1983;12;1983/1984;Myotis bechsteinii;0
1984;02;1983/1984;Myotis bechsteinii;0
1984;12;1984/1985;celkem;19
1985;02;1984/1985;celkem;63
1984;12;1984/1985;Myotis nattereri;7
1985;02;1984/1985;Myotis nattereri;50
1984;12;1984/1985;Myotis daubentonii;3
1985;02;1984/1985;Myotis daubentonii;3
1984;12;1984/1985;Myotis myotis;2
1985;02;1984/1985;Myotis myotis;5
1984;12;1984/1985;Plecotus auritus;4
1985;02;1984/1985;Plecotus auritus;2
1984;12;1984/1985;Myotis mystacinus;2
1985;02;1984/1985;Myotis mystacinus;0
1984;12;1984/1985;Myotis brandtii;1
1985;02;1984/1985;Myotis brandtii;1
1984;12;1984/1985;Barbastella barbastellus;0
1985;02;1984/1985;Barbastella barbastellus;2
1984;12;1984/1985;Eptesicus serotinus;0
1985;02;1984/1985;Eptesicus serotinus;0
1984;12;1984/1985;Myotis emarginatus;0
1985;02;1984/1985;Myotis emarginatus;0
1984;12;1984/1985;Myotis bechsteinii;0
1985;02;1984/1985;Myotis bechsteinii;0
1985;12;1985/1986;celkem;14
1986;02;1985/1986;celkem;25
1985;12;1985/1986;Myotis nattereri;5
1986;02;1985/1986;Myotis nattereri;21
1985;12;1985/1986;Myotis daubentonii;4
1986;02;1985/1986;Myotis daubentonii;1
1985;12;1985/1986;Myotis myotis;5
1986;02;1985/1986;Myotis myotis;1
1985;12;1985/1986;Plecotus auritus;0
1986;02;1985/1986;Plecotus auritus;1
1985;12;1985/1986;Myotis mystacinus;0
1986;02;1985/1986;Myotis mystacinus;1
1985;12;1985/1986;Myotis brandtii;0
1986;02;1985/1986;Myotis brandtii;0
